epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31.0769,0.95898,0.72555,1.05002,0.89752,0.80961,0.88407,0.56717,1.28974,0.90371,1.19873,0.00183764,0.00183764,0.00183764
43,31.7851,0.93742,0.70423,1.04619,0.92496,0.84034,0.90826,0.5846,1.25185,0.82322,1.20556,0.00183368,0.00183368,0.00183368
44,32.513,0.94399,0.67597,1.05304,0.95652,0.78992,0.87221,0.565,1.2596,0.92143,1.2025,0.00182972,0.00182972,0.00182972
45,33.1983,0.9152,0.75506,1.06107,0.96587,0.77311,0.86632,0.57045,1.24345,0.9205,1.19709,0.00182576,0.00182576,0.00182576
46,33.9124,0.87819,0.63644,1.027,0.87392,0.87373,0.90074,0.6049,1.15182,0.8261,1.15136,0.0018218,0.0018218,0.0018218
47,34.6105,0.88482,0.65858,1.025,0.93888,0.84034,0.88995,0.58605,1.24082,0.85681,1.17801,0.00181784,0.00181784,0.00181784
48,35.3045,0.89237,0.65866,1.00566,0.93159,0.81513,0.88892,0.58635,1.24446,0.84352,1.195,0.00181388,0.00181388,0.00181388
49,35.9795,0.86773,0.65398,0.9971,0.94092,0.84034,0.87725,0.58096,1.19538,0.86476,1.16803,0.00180992,0.00180992,0.00180992
50,36.6618,0.91419,0.68252,1.0412,0.89549,0.7921,0.84892,0.58685,1.17724,0.96638,1.14074,0.00180596,0.00180596,0.00180596
51,37.3447,0.90026,0.68298,1.02718,0.91225,0.78992,0.86811,0.58008,1.22371,0.85115,1.18198,0.001802,0.001802,0.001802
52,38.0345,0.88651,0.64984,1.05048,0.94404,0.77311,0.89144,0.61463,1.17127,0.79043,1.13968,0.00179804,0.00179804,0.00179804
53,38.7169,0.90418,0.63835,1.00596,0.8947,0.80672,0.88162,0.5864,1.22411,0.85831,1.17214,0.00179408,0.00179408,0.00179408
54,39.4012,0.8953,0.6422,1.0318,0.87521,0.70726,0.84612,0.54306,1.32526,1.00085,1.23808,0.00179012,0.00179012,0.00179012
55,40.0877,0.86387,0.609,1.00337,0.91551,0.81955,0.89168,0.61514,1.20133,0.80446,1.14719,0.00178616,0.00178616,0.00178616
56,40.7847,0.93453,0.63767,1.01795,0.91905,0.78992,0.87932,0.56868,1.29295,0.90148,1.22384,0.0017822,0.0017822,0.0017822
57,41.4557,0.93174,0.63527,1.05673,0.90456,0.7965,0.88773,0.55701,1.32033,0.8626,1.25453,0.00177824,0.00177824,0.00177824
58,42.1462,0.84925,0.57284,1.00487,0.98022,0.83193,0.91338,0.61876,1.17701,0.77633,1.15444,0.00177428,0.00177428,0.00177428
59,42.8375,0.85925,0.59704,1.00725,0.92858,0.83193,0.89247,0.60101,1.1739,0.82161,1.16274,0.00177032,0.00177032,0.00177032
60,43.5254,0.83928,0.59603,0.99995,0.93295,0.82353,0.89966,0.5955,1.18522,0.78661,1.15782,0.00176636,0.00176636,0.00176636
61,44.2042,0.87968,0.63184,1.04181,0.89835,0.85714,0.90263,0.61692,1.13614,0.77672,1.1329,0.0017624,0.0017624,0.0017624
62,44.8856,0.82297,0.58277,1.00156,0.94108,0.80529,0.90693,0.60197,1.15456,0.79548,1.16649,0.00175844,0.00175844,0.00175844
63,45.5755,0.85119,0.58007,1.02401,0.90756,0.78992,0.90946,0.59968,1.18785,0.82185,1.17527,0.00175448,0.00175448,0.00175448
64,46.2646,0.8104,0.57912,0.98018,0.92576,0.82353,0.9165,0.60094,1.16833,0.78267,1.16672,0.00175052,0.00175052,0.00175052
65,46.9501,0.83281,0.58679,0.9876,0.88242,0.86555,0.91465,0.58998,1.18795,0.7684,1.1724,0.00174656,0.00174656,0.00174656
66,47.6369,0.81823,0.56778,0.99291,0.88723,0.88235,0.9044,0.60202,1.18541,0.76834,1.16655,0.0017426,0.0017426,0.0017426
67,48.3171,0.82035,0.56131,0.99759,0.96481,0.78992,0.87666,0.57034,1.20375,0.86209,1.16604,0.00173864,0.00173864,0.00173864
68,49.001,0.78295,0.57244,0.96774,0.90482,0.79884,0.86343,0.57546,1.18799,0.88107,1.15403,0.00173468,0.00173468,0.00173468
69,49.674,0.82811,0.57925,0.98957,0.90846,0.80672,0.86636,0.58198,1.18232,0.85591,1.15448,0.00173072,0.00173072,0.00173072
70,50.3496,0.78335,0.54244,1.00185,0.93191,0.80507,0.88421,0.59327,1.19166,0.83305,1.15098,0.00172676,0.00172676,0.00172676
71,51.0291,0.81058,0.56434,0.99131,0.82788,0.85714,0.88026,0.59456,1.14557,0.82714,1.14095,0.0017228,0.0017228,0.0017228
72,51.7076,0.79845,0.57026,0.98721,0.88748,0.82353,0.88877,0.59232,1.15343,0.78401,1.13908,0.00171884,0.00171884,0.00171884
73,52.3744,0.75584,0.55989,0.97922,0.92284,0.84874,0.90653,0.60519,1.14921,0.74358,1.12417,0.00171488,0.00171488,0.00171488
74,53.0547,0.78313,0.5408,0.97433,0.87225,0.80672,0.89028,0.59388,1.20705,0.79377,1.18634,0.00171092,0.00171092,0.00171092
75,53.734,0.8343,0.54985,1.02022,0.90672,0.83193,0.90167,0.5993,1.1873,0.75547,1.17423,0.00170696,0.00170696,0.00170696
76,54.419,0.78966,0.55122,0.98532,0.95569,0.83193,0.91098,0.60854,1.18274,0.75892,1.16904,0.001703,0.001703,0.001703
77,55.0949,0.80582,0.56623,0.99378,0.92821,0.87395,0.91277,0.59917,1.17418,0.73657,1.15799,0.00169904,0.00169904,0.00169904
78,55.7757,0.82011,0.56639,1.01562,0.94599,0.83193,0.89961,0.5994,1.17875,0.74225,1.15257,0.00169508,0.00169508,0.00169508
79,56.4586,0.76484,0.54111,0.98837,0.94104,0.80672,0.90057,0.6162,1.12938,0.7781,1.14729,0.00169112,0.00169112,0.00169112
80,57.1478,0.78337,0.55549,0.99213,0.91588,0.82353,0.8878,0.61493,1.11433,0.78027,1.13178,0.00168716,0.00168716,0.00168716
81,57.8229,0.82664,0.55905,0.98669,0.91023,0.85208,0.8917,0.61859,1.12911,0.78515,1.12726,0.0016832,0.0016832,0.0016832
82,58.5026,0.74492,0.52995,0.95769,0.91909,0.84874,0.90014,0.61701,1.13739,0.72875,1.13103,0.00167924,0.00167924,0.00167924
83,59.1879,0.73141,0.51239,0.95758,0.92882,0.87732,0.90291,0.62512,1.12718,0.71881,1.11705,0.00167528,0.00167528,0.00167528
84,59.898,0.78263,0.54204,0.96506,0.93572,0.85636,0.89637,0.6075,1.15557,0.75348,1.15287,0.00167132,0.00167132,0.00167132
85,60.5831,0.7686,0.52484,0.97681,0.9327,0.84034,0.88776,0.58405,1.2017,0.77487,1.1972,0.00166736,0.00166736,0.00166736
86,61.2681,0.73989,0.52121,0.95898,0.9214,0.84034,0.9001,0.61667,1.13462,0.72767,1.13245,0.0016634,0.0016634,0.0016634
87,61.9582,0.75693,0.52363,0.96936,0.9352,0.84888,0.91691,0.62645,1.15467,0.72134,1.16232,0.00165944,0.00165944,0.00165944
88,62.6587,0.79624,0.55314,0.9969,0.96077,0.86555,0.92197,0.63142,1.12971,0.69637,1.15359,0.00165548,0.00165548,0.00165548
89,63.3485,0.76866,0.52472,0.99377,0.96216,0.86555,0.91875,0.61276,1.16054,0.72226,1.16303,0.00165152,0.00165152,0.00165152
90,64.0284,0.71295,0.4942,0.96117,0.92009,0.87078,0.903,0.60502,1.1292,0.75333,1.15827,0.00164756,0.00164756,0.00164756
91,64.7155,0.7954,0.53543,1.01057,0.9109,0.85911,0.90188,0.60587,1.16172,0.79562,1.14602,0.0016436,0.0016436,0.0016436
92,65.4002,0.71493,0.50821,0.95287,0.92174,0.84034,0.89797,0.61189,1.14412,0.78505,1.13927,0.00163964,0.00163964,0.00163964
93,66.0748,0.7428,0.52369,0.97471,0.88896,0.85714,0.89786,0.60981,1.13586,0.78848,1.13629,0.00163568,0.00163568,0.00163568
94,66.7582,0.73277,0.50382,0.97161,0.89119,0.84874,0.90848,0.62209,1.11234,0.72603,1.12696,0.00163172,0.00163172,0.00163172
95,67.45,0.74824,0.49478,0.95814,0.92349,0.84874,0.90841,0.59639,1.18253,0.74608,1.18776,0.00162776,0.00162776,0.00162776
96,68.1357,0.73563,0.53183,0.97279,0.95007,0.86555,0.92024,0.63545,1.11097,0.67858,1.12871,0.0016238,0.0016238,0.0016238
97,68.8261,0.74795,0.5399,0.97297,0.92388,0.88235,0.92237,0.63946,1.08581,0.68861,1.10974,0.00161984,0.00161984,0.00161984
98,69.5311,0.74722,0.5013,0.95889,0.93361,0.84034,0.90872,0.60396,1.13354,0.74866,1.13873,0.00161588,0.00161588,0.00161588
99,70.2166,0.70418,0.50062,0.95786,0.91054,0.84034,0.88769,0.5995,1.12321,0.80177,1.13847,0.00161192,0.00161192,0.00161192
100,70.9114,0.68897,0.48952,0.94214,0.96062,0.81998,0.89636,0.60724,1.10276,0.7826,1.1264,0.00160796,0.00160796,0.00160796
101,71.5841,0.6995,0.48444,0.937,0.88707,0.85812,0.89258,0.60045,1.11871,0.82167,1.12823,0.001604,0.001604,0.001604
102,72.2659,0.71463,0.50309,0.97734,0.94675,0.81513,0.89317,0.62067,1.11349,0.81051,1.10554,0.00160004,0.00160004,0.00160004
103,72.9479,0.69104,0.48323,0.94668,0.98064,0.85142,0.90752,0.63934,1.11539,0.76048,1.10481,0.00159608,0.00159608,0.00159608
104,73.6333,0.73819,0.51073,0.95022,0.93689,0.87319,0.90917,0.64019,1.12231,0.7135,1.1235,0.00159212,0.00159212,0.00159212
105,74.323,0.73528,0.51085,0.97524,0.91371,0.85714,0.91149,0.64118,1.14243,0.73935,1.13425,0.00158816,0.00158816,0.00158816
106,75.0223,0.72987,0.49559,0.96305,0.9493,0.83193,0.90097,0.62519,1.14508,0.75981,1.15481,0.0015842,0.0015842,0.0015842
107,75.711,0.67805,0.47676,0.94147,0.94289,0.83249,0.88503,0.6152,1.11274,0.77276,1.14405,0.00158024,0.00158024,0.00158024
108,76.4006,0.65935,0.46576,0.93606,0.9413,0.83193,0.87091,0.60392,1.14638,0.82785,1.148,0.00157628,0.00157628,0.00157628
109,77.0763,0.68985,0.47122,0.92989,0.94181,0.83193,0.86083,0.59488,1.13266,0.84637,1.14505,0.00157232,0.00157232,0.00157232
110,77.7603,0.64408,0.4681,0.9271,0.93164,0.83193,0.85122,0.58844,1.16616,0.87397,1.17209,0.00156836,0.00156836,0.00156836
111,78.4624,0.66786,0.46916,0.93523,0.89323,0.85714,0.86379,0.58138,1.17129,0.82143,1.19056,0.0015644,0.0015644,0.0015644
112,79.1503,0.66747,0.46928,0.93547,0.88306,0.87395,0.87114,0.56844,1.23391,0.80062,1.23562,0.00156044,0.00156044,0.00156044
113,79.8403,0.70363,0.48523,0.95854,0.89559,0.865,0.87755,0.57029,1.22797,0.81825,1.21939,0.00155648,0.00155648,0.00155648
114,80.5264,0.69301,0.4805,0.9604,0.94518,0.82353,0.88981,0.59649,1.17063,0.80282,1.16829,0.00155252,0.00155252,0.00155252
115,81.2093,0.6888,0.48429,0.94437,0.89318,0.84321,0.90426,0.58617,1.20641,0.77426,1.19266,0.00154856,0.00154856,0.00154856
116,81.9023,0.68591,0.48745,0.94599,0.91056,0.85558,0.91585,0.61041,1.13755,0.73083,1.13647,0.0015446,0.0015446,0.0015446
117,82.5804,0.68878,0.46468,0.94719,0.91968,0.86601,0.91731,0.60995,1.14993,0.72366,1.14797,0.00154064,0.00154064,0.00154064
118,83.2658,0.66528,0.48069,0.93802,0.94806,0.83193,0.91452,0.61318,1.13655,0.71765,1.12668,0.00153668,0.00153668,0.00153668
119,83.9572,0.67456,0.45905,0.95149,0.91856,0.88235,0.9068,0.61845,1.15026,0.72876,1.14606,0.00153272,0.00153272,0.00153272
120,84.6448,0.68737,0.47374,0.93842,0.89956,0.84034,0.89593,0.59306,1.17196,0.7687,1.1925,0.00152876,0.00152876,0.00152876
121,85.3215,0.72101,0.53628,0.95813,0.89395,0.85003,0.89495,0.5995,1.15261,0.78226,1.17191,0.0015248,0.0015248,0.0015248
122,86.0164,0.66474,0.45358,0.92519,0.96949,0.82353,0.89031,0.60581,1.14819,0.80207,1.15134,0.00152084,0.00152084,0.00152084
123,86.7024,0.67803,0.46978,0.95447,0.95919,0.80672,0.89231,0.61867,1.1311,0.75463,1.13805,0.00151688,0.00151688,0.00151688
124,87.3969,0.70944,0.47526,0.95351,0.95961,0.84874,0.92217,0.64715,1.11889,0.67991,1.13867,0.00151292,0.00151292,0.00151292
125,88.0923,0.68734,0.47085,0.94635,0.93129,0.87395,0.92628,0.64513,1.11137,0.66389,1.14111,0.00150896,0.00150896,0.00150896
126,88.7756,0.62257,0.43416,0.90791,0.92042,0.87474,0.92471,0.6344,1.14134,0.68835,1.16331,0.001505,0.001505,0.001505
127,89.4667,0.65124,0.4484,0.91793,0.93609,0.8616,0.92034,0.63797,1.12459,0.69924,1.13315,0.00150104,0.00150104,0.00150104
128,90.1555,0.66862,0.49926,0.94186,0.94409,0.85137,0.91402,0.60198,1.20568,0.72091,1.19039,0.00149708,0.00149708,0.00149708
129,90.834,0.64894,0.47807,0.9341,0.96525,0.83193,0.91245,0.60069,1.20568,0.73051,1.19075,0.00149312,0.00149312,0.00149312
130,91.5197,0.65216,0.44506,0.92724,0.93641,0.86627,0.92769,0.62178,1.1683,0.68766,1.16688,0.00148916,0.00148916,0.00148916
131,92.2071,0.64913,0.46313,0.94569,0.9167,0.89076,0.92356,0.62919,1.14246,0.64553,1.1491,0.0014852,0.0014852,0.0014852
132,92.8962,0.66925,0.45945,0.9338,0.9093,0.83193,0.90716,0.6134,1.15581,0.68638,1.16218,0.00148124,0.00148124,0.00148124
133,93.5771,0.64767,0.44512,0.92296,0.91533,0.81766,0.89417,0.60405,1.14396,0.71138,1.15276,0.00147728,0.00147728,0.00147728
134,94.2653,0.63882,0.4573,0.92636,0.91731,0.83193,0.90973,0.60352,1.1594,0.76425,1.1478,0.00147332,0.00147332,0.00147332
135,94.9504,0.62503,0.44748,0.90977,0.94894,0.78081,0.88409,0.5935,1.19339,0.83984,1.18599,0.00146936,0.00146936,0.00146936
136,95.6441,0.63629,0.44864,0.92522,0.95203,0.78151,0.89241,0.59951,1.17252,0.85226,1.17311,0.0014654,0.0014654,0.0014654
137,96.3197,0.62115,0.43192,0.91954,0.88554,0.80672,0.8772,0.58851,1.15582,0.87982,1.15542,0.00146144,0.00146144,0.00146144
138,97.0075,0.63663,0.44222,0.91683,0.86738,0.76949,0.85231,0.57403,1.1342,0.91397,1.12854,0.00145748,0.00145748,0.00145748
139,97.6943,0.65337,0.45875,0.92999,0.90052,0.76069,0.86325,0.57376,1.15719,0.9002,1.13639,0.00145352,0.00145352,0.00145352
140,98.393,0.65213,0.46338,0.92275,0.89452,0.83193,0.89531,0.59855,1.14438,0.76978,1.14011,0.00144956,0.00144956,0.00144956
141,99.0802,0.6184,0.43585,0.90755,0.89252,0.85714,0.91086,0.61573,1.10353,0.71871,1.11967,0.0014456,0.0014456,0.0014456
142,99.7628,0.6263,0.445,0.93743,0.91552,0.81962,0.88963,0.60088,1.15889,0.75945,1.14894,0.00144164,0.00144164,0.00144164
143,100.46,0.60932,0.42907,0.905,0.93303,0.81513,0.891,0.59628,1.16138,0.74609,1.14655,0.00143768,0.00143768,0.00143768
144,101.148,0.57082,0.41542,0.8885,0.8956,0.84874,0.90397,0.60101,1.18991,0.72325,1.16775,0.00143372,0.00143372,0.00143372
145,101.83,0.633,0.44087,0.92509,0.92511,0.84034,0.91209,0.59363,1.18185,0.70646,1.17128,0.00142976,0.00142976,0.00142976
146,102.517,0.58144,0.42604,0.90627,0.93567,0.85561,0.91925,0.61058,1.14681,0.65138,1.15392,0.0014258,0.0014258,0.0014258
147,103.204,0.62848,0.42761,0.92209,0.94244,0.87395,0.92965,0.62034,1.1355,0.66524,1.1661,0.00142184,0.00142184,0.00142184
148,103.89,0.58785,0.41404,0.9137,0.94578,0.87948,0.93277,0.63791,1.13059,0.6839,1.1698,0.00141788,0.00141788,0.00141788
149,104.576,0.61645,0.43914,0.92719,0.97167,0.8648,0.93257,0.64706,1.15342,0.69097,1.18509,0.00141392,0.00141392,0.00141392
150,105.264,0.6056,0.4357,0.92261,0.95705,0.86555,0.92353,0.64321,1.1342,0.70065,1.15051,0.00140996,0.00140996,0.00140996
151,105.955,0.62252,0.4446,0.91805,0.9532,0.85576,0.90356,0.63187,1.12461,0.73102,1.14211,0.001406,0.001406,0.001406
152,106.645,0.61241,0.43417,0.93533,0.95582,0.88235,0.90988,0.6203,1.12395,0.71881,1.16083,0.00140204,0.00140204,0.00140204
153,107.324,0.60575,0.41573,0.90976,0.93038,0.89837,0.91479,0.61685,1.13028,0.68815,1.16541,0.00139808,0.00139808,0.00139808
154,108.022,0.60989,0.43671,0.91798,0.96413,0.90351,0.92327,0.61577,1.13021,0.64414,1.15927,0.00139412,0.00139412,0.00139412
155,108.712,0.61182,0.42856,0.92647,0.94434,0.89916,0.91724,0.61497,1.12632,0.66864,1.16023,0.00139016,0.00139016,0.00139016
